NOC,Region,Games,Year,GDP (Avg),Athletes,Sports,Events,Athletes per Event,Median Competitor Age,Median Competitor Height,Median Competitor Weight,M/F,Summer,Home_Field Adv,Medaled,Total Medals,Gold,Silver,Bronze,% Medal Bronze,% Medal Silver,% Medal Gold
ALG,Algeria,1964 Summer,1964,1248.867,1,1,7,0.143,26.0,175.0,65.0,1,1,0,0,0,0,0,0,0.0,0.0,0.0
AUS,Australia,1964 Summer,1964,974.262,215,19,127,1.693,24.0,177.0,73.0,1,1,0,1,37,8,3,26,0.703,0.081,0.216
AUT,Austria,1964 Summer,1964,1797.164,56,14,54,1.037,24.0,176.0,73.0,1,1,0,0,0,0,0,0,0.0,0.0,0.0
BEL,Belgium,1964 Summer,1964,2036.678,60,13,36,1.667,24.5,178.0,73.0,1,1,0,1,3,2,0,1,0.333,0.0,0.667
BOL,Boliva,1964 Summer,1964,1828.36,1,1,1,1.0,34.0,184.0,85.0,1,1,0,0,0,0,0,0,0.0,0.0,0.0
BRA,Brazil,1964 Summer,1964,1675.197,30,8,9,3.333,23.5,185.0,80.5,1,1,0,1,12,0,0,12,1.0,0.0,0.0
BUL,Bulgaria,1964 Summer,1964,976.858,57,9,50,1.14,26.0,174.0,74.0,1,1,0,1,9,3,4,2,0.222,0.444,0.333
CAN,Canada,1964 Summer,1964,929.112,115,16,92,1.25,25.0,179.0,76.0,1,1,0,1,5,2,2,1,0.2,0.4,0.4
CHI,Chile,1964 Summer,1964,4507.901,14,6,13,1.077,26.5,177.0,72.5,1,1,0,0,0,0,0,0,0.0,0.0,0.0
CIV,Ivory Coast,1964 Summer,1964,3289.484,7,2,8,0.875,25.0,177.0,68.0,1,1,0,0,0,0,0,0,0.0,0.0,0.0
CUB,Cuba,1964 Summer,1964,1190.97,27,6,24,1.125,22.0,172.0,66.0,1,1,0,1,1,0,1,0,0.0,1.0,0.0
EGY,Egypt,1964 Summer,1964,182.58,5,3,3,1.667,19.0,178.0,76.0,1,1,0,0,0,0,0,0,0.0,0.0,0.0
ESP,Spain,1964 Summer,1964,1107.257,51,9,35,1.457,23.0,174.0,70.0,1,1,0,0,0,0,0,0,0.0,0.0,0.0
ETH,Ethiopia,1964 Summer,1964,558.778,12,3,11,1.091,23.5,170.0,60.0,1,1,0,1,1,1,0,0,0.0,0.0,1.0
FIN,Finland,1964 Summer,1964,1060.659,89,13,64,1.391,25.0,178.0,75.0,1,1,0,1,5,3,0,2,0.4,0.0,0.6
FRA,France,1964 Summer,1964,1681.993,127,14,86,1.477,24.0,178.0,72.0,1,1,0,1,31,1,13,17,0.548,0.419,0.032
GBR,UK,1964 Summer,1964,3158.914,203,17,124,1.637,25.0,175.0,70.0,1,1,0,1,28,4,19,5,0.179,0.679,0.143
GER,Germany,1964 Summer,1964,790.046,337,19,159,2.119,24.0,177.0,72.0,1,1,0,1,116,22,44,50,0.431,0.379,0.19
