Games,NOC,Athletes,Sports,Events,Competitor Age (Avg),Competitor Height (Avg),Competitor Weight (Avg),M/F,Summer,Home_Field Adv,Year,Gold,Silver,Bronze,Medaled,Total Medals,Athletes per Event,% Medal Bronze
1964 Summer,AFG,2,1,2,24.0,161.0,57.5,1,1,0,1964,0,0,0,0,0,1.0,0.0
1964 Summer,AHO,4,2,4,28.5,171.25,69.375,1,1,0,1964,0,0,0,0,0,1.0,0.0
1964 Summer,ALG,1,1,7,26.0,175.0,65.0,1,1,0,1964,0,0,0,0,0,0.143,0.0
1964 Summer,ARG,99,14,76,28.071,174.737,73.949,1,1,0,1964,0,1,0,1,1,1.303,0.0
1964 Summer,AUS,215,19,127,25.553,176.544,73.0,1,1,0,1964,8,3,26,1,37,1.693,0.703
1964 Summer,AUT,56,14,54,25.018,176.429,74.705,1,1,0,1964,0,0,0,0,0,1.037,0.0
1964 Summer,BAH,11,2,6,33.545,176.727,78.273,1,1,0,1964,2,0,0,1,2,1.833,0.0
1964 Summer,BEL,60,13,36,25.617,177.383,74.717,1,1,0,1964,2,0,1,1,3,1.667,0.333
1964 Summer,BER,4,1,2,25.5,177.0,73.0,1,1,0,1964,0,0,0,0,0,2.0,0.0
1964 Summer,BOL,1,1,1,34.0,184.0,85.0,1,1,0,1964,0,0,0,0,0,1.0,0.0
1964 Summer,BRA,30,8,9,24.2,184.567,81.2,1,1,0,1964,0,0,12,1,12,3.333,1.0
1964 Summer,BUL,57,9,50,26.421,175.368,74.693,1,1,0,1964,3,4,2,1,9,1.14,0.222
1964 Summer,CAM,7,2,7,23.429,165.571,56.714,1,1,0,1964,0,0,0,0,0,1.0,0.0
1964 Summer,CAN,115,16,92,26.296,178.017,73.513,1,1,0,1964,2,2,1,1,5,1.25,0.2
1964 Summer,CGO,2,1,2,21.0,176.5,69.5,1,1,0,1964,0,0,0,0,0,1.0,0.0
1964 Summer,CHA,2,1,2,21.5,182.0,67.5,1,1,0,1964,0,0,0,0,0,1.0,0.0
1964 Summer,CHI,14,6,13,28.214,176.286,70.929,1,1,0,1964,0,0,0,0,0,1.077,0.0
1964 Summer,CIV,7,2,8,24.714,178.0,73.571,1,1,0,1964,0,0,0,0,0,0.875,0.0
1964 Summer,CMR,1,1,2,22.0,175.0,71.0,1,1,0,1964,0,0,0,0,0,0.5,0.0
1964 Summer,COL,20,6,19,26.35,172.3,66.9,1,1,0,1964,0,0,0,0,0,1.053,0.0
1964 Summer,CRC,1,1,1,43.0,163.0,78.0,1,1,0,1964,0,0,0,0,0,1.0,0.0
1964 Summer,CUB,27,6,24,22.333,172.704,68.407,1,1,0,1964,0,1,0,1,1,1.125,0.0
1964 Summer,DEN,60,10,40,24.367,177.317,72.717,1,1,0,1964,7,1,4,1,12,1.5,0.333
1964 Summer,DOM,1,1,1,30.0,173.0,67.0,1,1,0,1964,0,0,0,0,0,1.0,0.0
