NOC,Team,Games,Year,GDP,Population,Sports,Events,Athletes per Event,Median Competitor Age,Median Competitor Height,Median Competitor Weight,Summer,Home_Field_Adv,Golds,Silvers,Bronzes,Total Medals
ALG,Algeria,1980 Summer,1980,42.346,18.666,9,27,1.778,23.0,175.0,67.0,1,0,0,0,0,0
ANG,Angola,1980 Summer,1980,6.639,8.91,3,14,0.786,18.0,169.0,63.0,1,0,0,0,0,0
AUS,Australia,1980 Summer,1980,162.628,14.802,17,92,1.304,22.0,179.5,71.0,1,0,6,2,5,13
AUT,Austria,1980 Summer,1980,80.923,7.54,16,51,1.627,23.0,178.0,71.0,1,0,1,3,1,5
BEL,Belgium,1980 Summer,1980,123.478,9.855,10,51,1.157,22.0,175.5,68.5,1,0,1,0,0,1
BEN,Benin,1980 Summer,1980,2.302,3.636,1,7,1.0,23.0,170.0,62.0,1,0,0,0,0,0
BOT,Botswana,1980 Summer,1980,1.175,0.98,1,8,0.875,24.5,171.0,66.0,1,0,0,0,0,0
BRA,Brazil,1980 Summer,1980,145.819,118.563,14,72,1.458,21.5,181.0,73.0,1,0,4,0,5,9
BUL,Bulgaria,1980 Summer,1980,32.353,8.808,20,149,1.772,23.0,174.0,69.0,1,0,8,43,38,89
CMR,Cameroon,1980 Summer,1980,8.193,8.808,5,17,1.176,25.0,173.0,72.0,1,0,0,0,0,0
COL,Colombia,1980 Summer,1980,46.482,28.447,3,7,3.286,23.0,175.0,72.0,1,0,0,0,0,0
CRC,Costa Rica,1980 Summer,1980,4.854,2.302,5,17,1.588,22.0,174.0,68.0,1,0,0,0,0,0
CYP,Cyprus,1980 Summer,1980,2.314,0.509,3,13,1.077,22.0,176.0,71.0,1,0,0,0,0,0
DEN,Denmark,1980 Summer,1980,71.127,5.122,13,30,1.933,25.0,182.0,79.0,1,0,4,2,2,8
DOM,Dominican Republic,1980 Summer,1980,8.672,5.652,2,5,0.8,22.0,175.0,65.0,1,0,0,0,0,0
ECU,Ecuador,1980 Summer,1980,16.84,8.03,4,10,0.9,19.0,173.0,67.0,1,0,0,0,0,0
ESP,Spain,1980 Summer,1980,230.759,37.656,18,75,2.053,23.0,178.0,72.5,1,0,2,19,3,24
ETH,Ethiopia,1980 Summer,1980,7.385,34.32,3,26,1.577,26.0,174.0,58.5,1,0,2,0,2,4
FIN,Finland,1980 Summer,1980,53.714,4.771,16,71,1.479,25.0,180.0,75.0,1,0,3,1,5,9
FRA,France,1980 Summer,1980,702.243,53.731,13,85,1.424,24.0,176.0,67.0,1,0,18,5,6,29
GBR,Great Britain,1980 Summer,1980,603.983,56.33,14,144,1.514,22.0,176.0,70.0,1,0,5,18,24,47
